Movie Name,Type,Director,Rating
The Shawshank Redemption,Romance,Travis Ruiz,6.9
Inception,Crime,Heidi Rogers,7.6
Pulp Fiction,Music,Travis Ruiz,9.5
The Dark Knight,Animation,Heidi Rogers,9.5
Fight Club,Animation,Robert Johnson,8.4
Forrest Gump,Romance,Travis Ruiz,9.6
The Matrix,Animation,Travis Ruiz,5.9
Goodfellas,Music,William Johnson,8.4
The Godfather,Animation,Erin Morales,9.9
Interstellar,Drama,William Johnson,8.9
Parasite,Crime,William Johnson,6.8
Gladiator,Crime,Robert Johnson,7
The Silence of the Lambs,Animation,Erin Morales,6.6
Titanic,Drama,William Johnson,6.9
Avatar,Animation,Erin Morales,8.1
Jurassic Park,Crime,Robert Johnson,7.2
The Lion King,Music,Heidi Rogers,7.3
Toy Story,Crime,William Johnson,8.1
Spirited Away,Animation,Erin Morales,7
The Social Network,Drama,Travis Ruiz,5.3
Whiplash,Music,Robert Johnson,5.7
La La Land,Animation,Robert Johnson,6.7
The Grand Budapest Hotel,Crime,Travis Ruiz,7.9
Moonlight,Drama,Heidi Rogers,8.3
Birdman,Crime,Alan Myers,6.8
The Revenant,Romance,Alan Myers,8.6
Batman v Superman,Crime,Heidi Rogers,7.2
Suicide Squad,Crime,Alan Myers,6.6
The Room,Animation,Travis Ruiz,6.6
Catwoman,Drama,Travis Ruiz,6.2
Jack and Jill,Music,Alan Myers,6.2
Gigli,Drama,Heidi Rogers,8.3
Battlefield Earth,Music,Karen Hoffman,6.7
Howard the Duck,Crime,William Johnson,8.9
Movie 43,Drama,Alan Myers,7.4
The Last Airbender,Animation,William Johnson,8.1
Dragonball Evolution,Romance,Travis Ruiz,8.6
Fantastic Four,Animation,William Johnson,8.8
The Happening,Romance,Karen Hoffman,9
After Earth,Crime,Robert Johnson,7.3
Transformers 5,Crime,Travis Ruiz,5.9
Twilight,Animation,William Johnson,7.3
Fifty Shades of Grey,Crime,Alan Myers,7.9
The Emoji Movie,Romance,Alan Myers,6.7
Foodfight!,Animation,Erin Morales,5.1
Alone in the Dark,Drama,Alan Myers,7.3
House of the Dead,Crime,Travis Ruiz,5.8
BloodRayne,Drama,William Johnson,7.9
Superbabies: Baby Geniuses 2,Music,Erin Morales,6
